title,kind,release_date,source,source_url,summary,poster_url,updated_at
"Money, Power, Politics with Stephanie Ruhle",series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/91903/money-power-politics-with-stephanie-ruhle,"Money, Power, Politics with Stephanie Ruhle, utilizing her extensive Wall Street background to analyze the high-stakes intersection of money, power, and politics, Stephanie Ruhle delivers original reporting and hard-hitting interviews on the stories that directly affect Americans' lives. The program focuses on business and political news, featuring the ""Nightcap"" roundtable segment from her previous show, The 11th Hour",https://static.tvmaze.com/uploads/images/medium_portrait/629/1572501.jpg,2026-06-20T06:44:25+00:00
National Report,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76916/national-report,"National Report with Shaun Kraisman and Emma Rechenberg for live breaking news from NY and Washington, on politics, health, finance, and lifestyle that impact you.",https://static.tvmaze.com/uploads/images/medium_portrait/518/1297264.jpg,2026-06-20T06:44:25+00:00
NewsNation Live with Marni Hughes,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76884/newsnation-live-with-marni-hughes,NewsNation Live with Marni Hughes brings you a fast-paced look at the latest from the border to Main Street to the White House and around the globe.,https://static.tvmaze.com/uploads/images/medium_portrait/519/1297796.jpg,2026-06-20T06:44:25+00:00
Varney & Company,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/10598/varney-company,"Varney & Company is hosted by veteran business journalist Stuart Varney, noted for his distinctive British accent, hosts this weekday morning program on which he and his guests discuss the implications of political news on the business world, and also how the news of the day affects personal finances. The company Varney keeps includes regular contributors Charles Payne, Sandra Smith and Elizabeth MacDonald, who weigh in on such issues as government spending, health care and bailouts.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536223.jpg,2026-06-20T06:44:25+00:00
Today 3rd Hour,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/72466/today-3rd-hour,"A news program intended to inform, entertain, inspire and set the agenda each morning. Each daily live broadcast provides current domestic and international news, weather reports, and interviews with newsmakers from the worlds of politics, business, media, entertainment and sports.",https://static.tvmaze.com/uploads/images/medium_portrait/608/1520443.jpg,2026-06-20T06:44:25+00:00
America's Newsroom,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/10093/americas-newsroom,Watch ' America's Newsroom ' on Fox News Channel - follow Bill Hemmer and Dana Perino Weekdays 9 a.m. - 11 a.m. ET as they bring you the news that matters to you.,https://static.tvmaze.com/uploads/images/medium_portrait/614/1536195.jpg,2026-06-20T06:44:25+00:00
First Take,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/22382/first-take,"First Take (aka: ESPN First Take) is a weekday sports talk show co-hosted by Stephen A. Smith, Max Kellerman and Molly Qerim who are joined by regular contributors and special guests. The show includes daily sports news, interviews with sports journalists, athletes and personalities, spirited debates, and an assortment of other topics. The show debuted 7 May 2007 as ""Cold Pizza"".",https://static.tvmaze.com/uploads/images/medium_portrait/82/205434.jpg,2026-06-20T06:44:25+00:00
CBS News 24/7,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/77453/cbs-news-247,Live news and top stories on CBS News 24/7.,,2026-06-20T06:44:25+00:00
TODAY with Jenna & Sheinelle,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/88879/today-with-jenna-sheinelle,"America's feel-good morning show with big stars and sweet surprises; Jenna Bush Hager and Sheinelle Jones host an hour of heartfelt connection, inspirational stories, fun and laughs.",https://static.tvmaze.com/uploads/images/medium_portrait/608/1520440.jpg,2026-06-20T06:44:25+00:00
The View,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/6048/the-view,"The View is a live, one-hour daily talk show from ABC co-hosted by Whoopi Goldberg, Joy Behar, Sunny Hostin, Sara Haines, and Meghan McCain. It is the original forum in which real women discuss everyday issues, share their opinions and engage in colorful conversations.",https://static.tvmaze.com/uploads/images/medium_portrait/587/1467740.jpg,2026-06-20T06:44:25+00:00
The Faulkner Focus,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/75842/the-faulkner-focus,Emmy-winning journalist Harris Faulkner provides the latest news driving the day with insightful analysis and interviews with top newsmakers.,https://static.tvmaze.com/uploads/images/medium_portrait/614/1536204.jpg,2026-06-20T06:44:25+00:00
On the Line with Alicia Menendez,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/91902/on-the-line-with-alicia-menendez,"On the Line with Alicia Menendez moves beyond the headlines to examine the stories shaping the nation, featuring one-on-one conversations with newsmakers and a focus on voices often left out of the political discourse",https://static.tvmaze.com/uploads/images/medium_portrait/628/1572499.jpg,2026-06-20T06:44:25+00:00
Newsline,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76967/newsline,"Bianca de la Garza tackles the big news from D.C., N.Y., across America, and around the world!",,2026-06-20T06:44:25+00:00
NewsNation Live with Nichole Berlie,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76885/newsnation-live-with-nichole-berlie,The day's top news headlines with reports from correspondents around the country.,https://static.tvmaze.com/uploads/images/medium_portrait/519/1297795.jpg,2026-06-20T06:44:25+00:00
